code-barres,"date création exemplaire","date dernier retour exemplaire","nb prêts","code collection",lib1,lib2,lib3,lib4
C0003655749,2005-03-22,,126,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0000355772,2005-03-23,,39,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0005851485,2014-02-20,2017-05,32,JABPFEV,Jeunesse,Albums,Eveil,
C0004861018,2009-02-21,2017-01,48,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005238941,2011-09-09,2017-06,50,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003626805,2005-03-23,2017-06,126,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004581359,2008-04-17,2017-03,46,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003039294,2011-11-29,2017-07,41,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005387762,2013-03-16,2017-06,62,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005549924,2013-08-01,2016-12,27,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005238917,2011-09-09,2017-06,51,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004644335,2007-12-20,2017-06,108,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004458289,2007-11-22,2017-06,99,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005206520,2011-09-24,2017-01,58,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0000083278,2005-03-23,2017-07,79,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005385478,2013-01-19,2017-03,44,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003636868,2005-03-23,2017-01,138,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004299481,2009-08-04,2017-03,94,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004200204,2005-12-06,2017-06,72,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004358421,2007-01-17,2017-01,61,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0002201806,2005-03-23,2017-02,79,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0001589633,2005-03-23,2014-12,146,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0001847659,2005-03-23,,81,JMUEFZZ,Jeunesse,Musique,,
C0004839647,2009-04-07,2017-04,122,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004644068,2007-12-20,2017-07,146,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0006018887,2014-04-30,2017-07,21,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0002007626,2005-03-23,2016-11,29,JABEFDT,Jeunesse,Albums,Documentaires,
C0004465537,2007-05-09,2017-05,54,JABPFEV,Jeunesse,Albums,Eveil,
C0004440074,2007-02-20,2017-05,86,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005197624,2012-06-21,2017-02,81,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0002495853,2005-03-24,2017-05,85,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004056176,2005-03-24,2017-06,75,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004528725,2007-09-13,2016-06,103,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005314454,2010-11-03,2017-07,35,JABPFEV,Jeunesse,Albums,Eveil,
C0004833065,2009-02-27,2017-01,19,JDT60ZZ,Jeunesse,Documentaires,"Santé / Cuisine / Jeux et sports (enfants)",
C0003211375,2013-05-11,2017-03,40,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004944010,2009-11-24,2017-02,61,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0005208360,2011-10-05,2017-05,36,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003850349,2005-03-24,2017-03,73,JBDPBZZ,Jeunesse,"Bandes dessinées","Premières BD",
C0002402070,2005-03-24,2017-01,111,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0006017514,2014-05-13,2017-01,42,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0002605741,2005-03-24,2017-01,35,JABEFDT,Jeunesse,Albums,Documentaires,
C0005385485,2013-01-19,2017-07,53,JABPFEV,Jeunesse,Albums,Eveil,
C0002418908,2005-03-24,2017-03,60,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004577295,2008-04-09,,63,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0002422339,2005-03-24,2017-05,126,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0002347539,2005-03-24,2017-01,28,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005243514,2011-10-05,2017-07,56,JABPFEV,Jeunesse,Albums,Eveil,
C0004287010,2006-06-03,,89,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003954949,2005-09-16,,80,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004221616,2006-01-21,2017-02,37,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004458409,2007-11-22,2017-08,119,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005823840,2013-11-19,2016-12,7,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004318112,2006-09-14,2017-05,107,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
