Support,CB,Titre,Auteur,Localisation,Cote,Statut,"Année acquisition","Année publication","Nb prêts année","Nb réservations année","Nb prêts totaux"
LI,C0003020847,"Linus Torvalds","Linus Torvalds,... et David Diamond",MED3A,"Doc./005.43 TOR",0,2005,2001,1,0,24
VD,C0003897236,"Cryptologie et sécurité informatique",,MED3A,"DVD/004 STE",0,2005,2000,0,0,6
LI,C0004213231,"La bible des trucs & astuces Excel","John Walkenbach",MED3A,"Doc./005.3 WAL",0,2006,2005,4,1,96
LI,C0004492178,"Access 2007","Laurie Ulrich Fuller, Ken Cook, John Kaufeld",MED3A,"Doc./005.4 FUL",0,2007,2007,1,0,44
LI,C0004492160,"PowerPoint 2007","Doug Lowe",MED3A,"Doc./005.4 LOW",0,2007,2007,1,0,41
LI,C0004486143,"Alan Turing","David Leavitt,...",MED3A,"Doc./004.1 LEA",0,2007,2007,4,0,25
LI,C0004486892,"PowerPoint 2007","Alexandre Boni et Nicolas Stemart",MED3A,"Doc./006.6 BON",0,2007,2007,1,0,38
LI,C0004543636,"Access 2007",,MED3A,"Doc./005.36 ACC",0,2007,2007,5,0,44
LI,C0004544488,"Access 2007","Élisabeth Ravey",MED3A,"Doc./005.36 RAV",0,2007,2007,2,0,33
LI,C0004543335,"Apprendre le C [plus-plus]","Claude Delannoy",MED3A,"Doc./005.13 DEL",0,2007,2007,6,1,46
LI,C0004544608,"Bien démarrer avec Excel 2007","Étienne Oehmichen",MED3A,"Doc./005.34 OEH",0,2007,2007,2,0,57
LI,C0004544420,"Bien démarrer avec PowerPoint 2007","Marc Bergame",MED3A,"Doc./005.34 BER",0,2007,2007,1,0,25
LI,C0004544543,"Bien démarrer avec Word 2007","Marc Bergame",MED3A,"Doc./005.34 BER",0,2007,2007,0,0,34
LI,C0004559718,Blender,"Marie-France et Jean-Michel Soler",MED3A,"Doc./006 SOL",0,2007,2007,3,1,39
LI,C0004362111,"Compétence Micro-Initiation.","David Bosman, Stéphanie Guillaume",MED3A,"Doc./006.6 COM",0,2007,2007,2,0,15
LI,C0004543872,"Fonctions Excel 2007","Paul-Éric Minne",MED3A,"Doc./005.36 MIN",0,2007,2007,3,0,58
LI,C0004648274,"Tout sur les réseaux et Internet","Jean-François Pillou",MED3A,"Doc./004.678 PIL",0,2007,2006,4,0,55
LI,C0004680292,"Word 2007","Servane Heudiard",MED3A,"Doc./005.36 HEU",0,2008,2008,0,0,23
LI,C0004680111,"Excel 2007","Jean-François Sehan",MED3A,"Doc./005.36 SEH",0,2008,2008,1,0,38
LI,C0004696984,"Bien gérer mes photos avec l'ordinateur","Henri Lilen",MED3A,"Doc./006.3 LIL",0,2008,2008,1,0,24
LI,C0004697087,"Le clavier et la souris","Servane Heudiard",MED3A,"Doc./004.16 HEU",0,2008,2008,3,0,20
LI,C0004842991,"XML par la pratique","[Sébastien Lecomte, Thierry Boulanger]",MED3A,"Doc./005.1 LEC",0,2009,2008,2,0,18
LI,C0004863280,"Excel 2007","Olivier Abou",MED3A,"Doc./005.7 ABO",0,2009,2008,3,0,39
LI,C0004870863,"PHP & MySQL","Luke Welling, Laura Thomson",MED3A,"Doc./004.678 WEL",0,2009,2009,3,1,55
LI,C0004868793,"Office 2007","[Thibaud Schwartz]",MED3A,"Doc./005.36 SCH",0,2009,2009,1,0,32
LI,C0005072133,"Joomla pour les nuls","Steven Holzner, Nancy Conner",MED3A,"Doc./005.36 HOL",0,2009,2009,0,0,32
