Thématique,Titre,"Numéro notice bib","1er destination","2e destination","empruntable ?",infos,Périodicité,"prix de l'abt","Nb prêts",Emprunteurs,"Prêts ex dist",Ex
"Actualités générales","6 mois : le XXIe siècle en images",242619,Etude,"prêt 1er étage",oui,,semestriel,51,61,40,9,1
"Actualités générales","Afrique Asie",180250,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,35,48,20,17,11
"Actualités générales","Alternatives économiques",154603,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,48,56,35,16,11
"Actualités générales",America,300066,"1er étage / Actualités",,oui,"nouveau ",trimestriel,70,2,2,1,1
"Actualités générales","Arabies ",157678,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,100,30,15,13,11
"Actualités générales","Cahiers français ",154625,Etude,"prêt 1er étage",oui,,bimestriel,52,67,38,14,8
"Actualités générales","Canard enchaîné",154630,"RDC / Espace café",magasin,non,CR,hebdomadaire,55,0,0,0,0
"Actualités générales","Capital : l'essentiel de l'économie",156700,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,39,190,72,29,12
"Actualités générales","Causeur magazine ",245140,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,59,75,26,19,11
"Actualités générales","Charlie hebdo",155338,"RDC / Espace café",magasin,non,CR,hebdomadaire,96,0,0,0,0
"Actualités générales","Chronique d'Amnesty international",154742,Etude,magasin,non,,mensuel,36,0,0,0,0
"Actualités générales",Commentaire,157058,Etude,"prêt 1er étage",oui,,trimestriel,"80,01",15,7,8,4
"Actualités générales","Courrier de l'Atlas ",229800,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,25,47,26,14,11
"Actualités générales","Courrier international",154754,"RDC / Espace café","prêt 1er étage",oui,,hebdomadaire,115,92,45,51,50
"Actualités générales","Débat : histoire, politique, société ",157020,"RDC / Espace presse","prêt 1er étage",oui,,bimestriel,72,23,16,6,5
"Actualités générales",Diversité,158008,Etude,"prêt 1er étage",oui,,trimestriel,43,23,14,6,4
"Actualités générales","Ecarts d'identité",156692,"1er étage / Actualités",,oui,,semestriel,24,5,4,2,2
"Actualités générales",Echos,157968,"RDC / Espace café",magasin,non,,quotidien,565,0,0,0,0
"Actualités générales",Elephant,275288,Etude,"prêt 1er étage",oui,,trimestriel,60,89,46,11,4
"Actualités générales","Etudes de la documentation française",158007,,,,MORT,,0,17,15,12,5
"Actualités générales","Expansion ",157527,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,"30,01",12,10,7,5
"Actualités générales","Express ",154644,"RDC / Espace presse","prêt 1er étage",oui,,hebdomadaire,104,134,57,55,51
"Actualités générales",Figaro,154645,"RDC / Espace café",magasin,non,,quotidien,410,0,0,0,0
"Actualités générales","Figaro magazine",154616,"RDC / Espace presse","prêt 1er étage",oui,"sup au Figaro",hebdomadaire,0,120,43,59,51
"Actualités générales","France culture papiers  (devenu Papiers)",245143,Etude,"prêt 1er étage",oui,,trimestriel,60,20,18,4,4
"Actualités générales","Gazette des communes",154821,Etude,magasin,non,,hebdomadaire,234,0,0,0,0
